,Title,Links,Description,Present Prices,Old Price,From
0," Avita Magus Celeron N3350 12.2"" FHD Laptop Pastel Violet",https://www.startech.com.bd/avita-magus-celeron-laptop-pastel-violet,"Intel Celeron Processor N3350 (1.10 GHz-2.40 GHz 2 MB Cache Cores: 2 Threads: 2), 4GB RAM, , 64GB eMMC, 12.2"" TFT (1920 x 1200)Touch Display","23,500",,StarTech-
1," Avita Magus Celeron N3350 12.2"" FHD Laptop Seashell Pink",https://www.startech.com.bd/avita-magus-celeron-laptop-seashell-pink,"Intel Celeron Processor N3350 (1.10 GHz-2.40 GHz 2 MB Cache Cores: 2 Threads: 2), 4GB RAM, , 64GB eMMC, 12.2"" TFT (1920 x 1200)Touch Display","23,500",,StarTech-
2," AVITA Essential 14 Celeron N4000 14"" Full HD Laptop Concrete Grey Color",https://www.startech.com.bd/avita-essential-14-celeron-n4000-laptop,"Intel Celeron Processor N4000 (4M Cache, 1.10 GHz up to 2.60 GHz), 4GB LPDDR4 RAM, 128GB SATA M.2 SSD, 14"" FHD (1920 x 1080) IPS Display","24,800",,StarTech-
3," AVITA Essential 14 Celeron N4000 14"" Full HD Laptop Matt Black Color",https://www.startech.com.bd/avita-essential-14-celeron-n4000-laptop-matt-black,"Intel Celeron Processor N4000 (4M Cache, 1.10 GHz up to 2.60 GHz), 4GB LPDDR4 RAM, 128GB SATA M.2 SSD, 14"" FHD (1920 x 1080) IPS Display","24,800",,StarTech-
4," AVITA Essential 14 Celeron N4020 14"" Full HD Laptop Concrete Grey Color",https://www.startech.com.bd/avita-essential-14-celeron-n4020-laptop,"Intel Celeron Processor N4020 (4M Cache, 1.10 GHz up to 2.80 GHz), 4GB LPDDR4 RAM, 128GB SATA M.2 SSD, 14"" FHD (1920 x 1080) IPS Display","25,490",,StarTech-
5," AVITA Essential 14 Celeron N4020 14"" Full HD Laptop Matt White Color",https://www.startech.com.bd/avita-essential-14-celeron-n4020-laptop-matt-white,"Intel Celeron Processor N4020 (4M Cache, 1.10 GHz up to 2.80 GHz), 4GB LPDDR4 RAM, 128GB SATA M.2 SSD, 14"" FHD (1920 x 1080) IPS Display","25,490",,StarTech-
6," AVITA Essential 14 Celeron N4020 14"" Full HD Laptop Matt Black Color",https://www.startech.com.bd/avita-essential-14-celeron-n4020-laptop-matt-black,"Intel Celeron Processor N4020 (4M Cache, 1.10 GHz up to 2.80 GHz), 4GB LPDDR4 RAM, 128GB SATA M.2 SSD, 14"" FHD (1920 x 1080) IPS Display","25,490",,StarTech-
7," AVITA Essential 14 Celeron N4020 256GB SSD 14"" Full HD Laptop Concrete Grey Color",https://www.startech.com.bd/avita-essential-14-celeron-n4020-256gb-ssd-laptop,"Intel Celeron Processor N4020 (4M Cache, 1.10 GHz up to 2.80 GHz), 4GB LPDDR4 RAM, 256GB SATA M.2 SSD, 14"" FHD (1920 x 1080) IPS Display","29,100",,StarTech-
8," AVITA Essential 14 Celeron N4020 256GB SSD 14"" Full HD Laptop Matt White Color",https://www.startech.com.bd/avita-essential-14-celeron-n4020-256gb-ssd-laptop-matt-white,"Intel Celeron Processor N4020 (4M Cache, 1.10 GHz up to 2.80 GHz), 4GB LPDDR4 RAM, 256GB SATA M.2 SSD, 14"" FHD (1920 x 1080) IPS Display","29,100",,StarTech-
9," AVITA Essential 14 Celeron N4020 256GB SSD 14"" Full HD Laptop Matt Black Color",https://www.startech.com.bd/avita-essential-14-celeron-n4020-256gb-ssd-laptop-matt-black,"Intel Celeron Processor N4020 (4M Cache, 1.10 GHz up to 2.80 GHz), 4GB LPDDR4 RAM, 256GB SATA M.2 SSD, 14"" FHD (1920 x 1080) IPS Display","29,100",,StarTech-
